Date,Net Amount,Store Ticket Count
2019-06-18,5400,58
2019-06-19,3772,65
2019-06-20,3949,62
2019-06-21,5543,66
2019-06-22,7115,87
2019-06-23,3455,37
2019-06-24,3743,67
2019-06-25,5275,58
2019-06-26,6937,59
2019-06-27,6093,58
2019-06-28,6946,82
2019-06-29,7756,90
2019-06-30,2818,46
2019-07-01,7770,79
2019-07-02,5351,59
2019-07-03,7458,79
2019-07-05,6079,82
2019-07-06,8390,76
2019-07-07,2534,42
2019-07-08,4965,67
2019-07-09,5213,63
2019-07-10,3309,48
2019-07-11,6049,58
2019-07-12,7833,87
2019-07-13,8266,87
2019-07-14,3062,51
2019-07-15,7596,66
2019-07-16,7432,70
2019-07-17,6431,51
2019-07-18,5801,61
2019-07-19,7850,52
2019-07-20,9591,82
2019-07-21,4805,58
2019-07-22,4739,75
2019-07-23,5502,69
2019-07-24,7330,54
2019-07-25,4976,58
2019-07-26,6051,71
2019-07-27,12508,91
2019-07-28,4663,48
2019-07-29,6329,69
2019-07-30,5846,65
2019-07-31,4453,71
2019-08-01,5934,72
2019-08-02,9694,82
2019-08-03,6033,67
2019-08-04,3027,52
2019-08-05,7828,66
2019-08-06,3868,59
2019-08-07,6409,69
2019-08-08,6339,36
2019-08-09,6468,70
2019-08-10,10483,91
2019-08-11,3364,51
2019-08-12,6817,67
2019-08-13,5803,66
2019-08-14,6992,57
2019-08-15,5193,49
2019-08-16,5037,58
2019-08-17,9992,107
2019-08-18,3510,44
2019-08-19,4520,60
2019-08-20,7224,61
2019-08-21,6869,54
2019-08-22,3893,62
2019-08-23,7455,59
2019-08-24,10737,82
2019-08-25,4001,55
2019-08-26,6612,57
2019-08-27,4940,46
2019-08-28,6075,49
2019-08-29,4883,49
2019-08-30,3913,75
2019-08-31,9419,89
2019-09-01,7788,36
2019-09-02,5713,63
2019-09-03,4834,66
2019-09-04,3996,61
2019-09-05,4775,44
2019-09-06,4100,51
2019-09-07,5443,62
2019-09-08,3238,46
2019-09-09,5126,51
2019-09-10,5546,51
2019-09-11,6111,54
2019-09-12,8847,55
2019-09-13,5889,66
2019-09-14,10278,91
2019-09-15,3738,51
2019-09-16,9038,55
2019-09-17,5083,38
2019-09-18,6655,38
2019-09-19,5811,37
2019-09-20,7607,70
2019-09-21,6660,65
2019-09-22,4845,41
2019-09-23,6580,68
2019-09-24,4711,46
2019-09-25,6523,36
2019-09-26,5179,48
2019-09-27,7671,80
2019-09-28,10587,93
2019-09-29,3312,47
2019-09-30,6389,71
2019-10-01,8266,68
2019-10-02,6436,61
2019-10-03,3178,48
2019-10-04,7320,68
2019-10-05,8535,76
2019-10-06,5288,47
2019-10-07,7185,56
2019-10-08,5785,62
2019-10-09,8137,43
2019-10-10,6405,37
2019-10-11,4561,49
2019-10-12,11089,60
2019-10-13,3692,38
2019-10-14,7249,60
2019-10-15,4115,36
2019-10-16,4007,39
2019-10-17,4141,45
2019-10-18,3975,53
2019-10-19,9963,76
2019-10-20,5051,45
2019-10-21,5707,64
2019-10-22,7419,56
2019-10-23,6318,48
2019-10-24,3205,38
2019-10-25,6535,51
2019-10-26,8208,77
2019-10-27,3995,46
2019-10-28,8213,65
2019-10-29,3911,43
2019-10-30,4791,42
2019-10-31,5201,49
2019-11-01,7601,73
2019-11-02,10168,80
2019-11-03,3304,51
2019-11-04,6233,57
2019-11-05,5149,48
2019-11-06,5396,47
2019-11-07,3017,36
2019-11-08,4702,55
2019-11-09,9353,73
2019-11-10,5403,52
2019-11-11,4769,49
2019-11-12,4724,38
2019-11-13,4552,39
2019-11-14,4232,48
2019-11-15,6225,75
2019-11-16,9098,73
